,brand,product_count,href
0,Pipeworks Brewing Company,148,https://wikiliq.org/beer-brands/pipeworks-brewing-company/
1,Evil Twin,122,https://wikiliq.org/beer-brands/evil-twin/
2,Mikkeller,117,https://wikiliq.org/beer-brands/mikkeller/
3,Lamplighter Brewing Co.,89,https://wikiliq.org/beer-brands/lamplighter-brewing-co/
4,Jack's Abby Brewing Company,76,https://wikiliq.org/beer-brands/jacks-abby-brewing-company/
5,Dogfish Head,73,https://wikiliq.org/beer-brands/dogfish-head/
6,Avery Brewing Company,70,https://wikiliq.org/beer-brands/avery-brewing-company/
7,Finback,63,https://wikiliq.org/beer-brands/finback/
8,Stillwater Artisanal,60,https://wikiliq.org/beer-brands/stillwater-artisanal/
9,SingleCut,59,https://wikiliq.org/beer-brands/singlecut/
10,Prairie Artisan Ales,59,https://wikiliq.org/beer-brands/prairie-artisan-ales/
11,Grimm Artisanal Ales,57,https://wikiliq.org/beer-brands/grimm-artisanal-ales/
12,Goose Island,56,https://wikiliq.org/beer-brands/goose-island/
13,Victory Brewing Company,55,https://wikiliq.org/beer-brands/victory-brewing-company/
14,Boulevard Brewing Company,54,https://wikiliq.org/beer-brands/boulevard-brewing-company/
15,Ommegang,54,https://wikiliq.org/beer-brands/ommegang/
16,Southern Tier,51,https://wikiliq.org/beer-brands/southern-tier/
17,Stone Brewing Co.,49,https://wikiliq.org/beer-brands/stone-brewing-co/
18,Brooklyn Brewery,49,https://wikiliq.org/beer-brands/brooklyn-brewery/
19,The Bruery,48,https://wikiliq.org/beer-brands/the-bruery/
20,Uinta Brewing Company,46,https://wikiliq.org/beer-brands/uinta-brewing-company/
21,Founders Brewing Company,45,https://wikiliq.org/beer-brands/founders-brewing-company/
22,Wicked Weed Brewing,45,https://wikiliq.org/beer-brands/wicked-weed-brewing/
23,Allagash,43,https://wikiliq.org/beer-brands/allagash/
24,Firestone Walker,43,https://wikiliq.org/beer-brands/firestone-walker/
25,Epic Brewing (US),43,https://wikiliq.org/beer-brands/epic-brewing-us/
26,Schlafly,42,https://wikiliq.org/beer-brands/schlafly/
27,Night Shift,42,https://wikiliq.org/beer-brands/night-shift/
28,Bud Light,41,https://wikiliq.org/beer-brands/bud-light/
29,Captain Lawrence,40,https://wikiliq.org/beer-brands/captain-lawrence/
30,Sierra Nevada,39,https://wikiliq.org/beer-brands/sierra-nevada/
31,Clown Shoes,39,https://wikiliq.org/beer-brands/clown-shoes/
32,Bell's Brewery,36,https://wikiliq.org/beer-brands/bells-brewery/
33,DuClaw,36,https://wikiliq.org/beer-brands/duclaw/
34,21st Amendment,36,https://wikiliq.org/beer-brands/21st-amendment/
35,Samuel Adams,35,https://wikiliq.org/beer-brands/samuel-adams/
36,Great Lakes Brewing Company,35,https://wikiliq.org/beer-brands/great-lakes-brewing-company/
37,DC Brau,35,https://wikiliq.org/beer-brands/dc-brau/
38,Almanac Beer Co.,35,https://wikiliq.org/beer-brands/almanac-beer-co/
39,Collective Arts Brewing,35,https://wikiliq.org/beer-brands/collective-arts-brewing/
40,Two Brothers,34,https://wikiliq.org/beer-brands/two-brothers/
41,Sixpoint,34,https://wikiliq.org/beer-brands/sixpoint/
42,Deschutes Brewery,34,https://wikiliq.org/beer-brands/deschutes-brewery/
43,Two Roads Brewing Company,34,https://wikiliq.org/beer-brands/two-roads-brewing-company/
44,Ballast Point,33,https://wikiliq.org/beer-brands/ballast-point/
45,Left Hand,32,https://wikiliq.org/beer-brands/left-hand/
46,Coronado Brewing Company,32,https://wikiliq.org/beer-brands/coronado-brewing-company/
47,Golden Road Brewing,32,https://wikiliq.org/beer-brands/golden-road-brewing/
48,Upland,32,https://wikiliq.org/beer-brands/upland/
49,Anderson Valley,31,https://wikiliq.org/beer-brands/anderson-valley/
50,Weyerbacher,31,https://wikiliq.org/beer-brands/weyerbacher/
51,Rogue Ales & Spirits,31,https://wikiliq.org/beer-brands/rogue-ales-spirits/
52,Lagunitas Beer,31,https://wikiliq.org/beer-brands/lagunitas/
53,Breckenridge Brewery,30,https://wikiliq.org/beer-brands/breckenridge-brewery/
54,Oskar Blues Brewery,30,https://wikiliq.org/beer-brands/oskar-blues-brewery/
55,Mighty Squirrel,30,https://wikiliq.org/beer-brands/mighty-squirrel/
56,Sloop Brewing Co.,30,https://wikiliq.org/beer-brands/sloop-brewing-co/
57,Odell,29,https://wikiliq.org/beer-brands/odell/
58,New Belgium Brewing Company,29,https://wikiliq.org/beer-brands/new-belgium-brewing-company/
59,Wachusett,29,https://wikiliq.org/beer-brands/wachusett/
60,Commonwealth Brewing Co.,28,https://wikiliq.org/beer-brands/commonwealth-brewing-co/
61,Bearded Iris,28,https://wikiliq.org/beer-brands/bearded-iris/
62,Harpoon,27,https://wikiliq.org/beer-brands/harpoon/
63,Dark Horse Brewing Company,27,https://wikiliq.org/beer-brands/dark-horse-brewing-company/
64,Jester King Brewery,27,https://wikiliq.org/beer-brands/jester-king-brewery/
65,Spiteful Brewing,27,https://wikiliq.org/beer-brands/spiteful-brewing/
66,Pontoon Brewing,27,https://wikiliq.org/beer-brands/pontoon-brewing/
67,SweetWater,27,https://wikiliq.org/beer-brands/sweetwater/
68,Springdale,27,https://wikiliq.org/beer-brands/springdale/
69,Destihl,27,https://wikiliq.org/beer-brands/destihl/
70,Jolly Pumpkin,27,https://wikiliq.org/beer-brands/jolly-pumpkin/
71,El Segundo Brewing,26,https://wikiliq.org/beer-brands/el-segundo-brewing/
72,Mystic,26,https://wikiliq.org/beer-brands/mystic/
73,Great Divide,26,https://wikiliq.org/beer-brands/great-divide/
74,18th Street Brewery,26,https://wikiliq.org/beer-brands/18th-street-brewery/
75,Smirnoff Ice,26,https://wikiliq.org/beer-brands/smirnoff-ice/
76,Blue Point,25,https://wikiliq.org/beer-brands/blue-point/
77,Flying Dog,25,https://wikiliq.org/beer-brands/flying-dog/
78,Ninkasi Brewing Company,25,https://wikiliq.org/beer-brands/ninkasi-brewing-company/
79,Mayflower,25,https://wikiliq.org/beer-brands/mayflower/
80,Abita,25,https://wikiliq.org/beer-brands/abita/
81,Toppling Goliath,25,https://wikiliq.org/beer-brands/toppling-goliath/
82,Elysian,24,https://wikiliq.org/beer-brands/elysian/
83,Berkshire Brewing Company,24,https://wikiliq.org/beer-brands/berkshire-brewing-company/
84,Schells,24,https://wikiliq.org/beer-brands/schells/
85,Bear Republic,24,https://wikiliq.org/beer-brands/bear-republic/
86,AleSmith Brewing Company,24,https://wikiliq.org/beer-brands/alesmith-brewing-company/
87,Revision Brewing Company,24,https://wikiliq.org/beer-brands/revision-brewing-company/
88,Three Floyd's,24,https://wikiliq.org/beer-brands/three-floyds/
89,De Proefbrouwerij,24,https://wikiliq.org/beer-brands/de-proefbrouwerij/
90,Cigar City Brewing,24,https://wikiliq.org/beer-brands/cigar-city-brewing/
91,North Coast Brewing Company,23,https://wikiliq.org/beer-brands/north-coast-brewing-company/
92,Boulder Beer,23,https://wikiliq.org/beer-brands/boulder-beer/
93,Perennial,23,https://wikiliq.org/beer-brands/perennial/
94,Rhinegeist,23,https://wikiliq.org/beer-brands/rhinegeist/
95,Crooked Stave,23,https://wikiliq.org/beer-brands/crooked-stave/
96,To Ã˜l,23,https://wikiliq.org/beer-brands/to-ol/
97,TrÃ¶egs,22,https://wikiliq.org/beer-brands/troegs/
98,Heretic Brewing,22,https://wikiliq.org/beer-brands/heretic-brewing/
99,Aeronaut,22,https://wikiliq.org/beer-brands/aeronaut/
100,Hermit Thrush,22,https://wikiliq.org/beer-brands/hermit-thrush/
101,Cascade,22,https://wikiliq.org/beer-brands/cascade/
102,Maine Beer Company,21,https://wikiliq.org/beer-brands/maine-beer-company/
103,Saint Arnold Brewing Company,21,https://wikiliq.org/beer-brands/saint-arnold-brewing-company/
104,Jackie O's,21,https://wikiliq.org/beer-brands/jackie-os/
105,Port Brewing,21,https://wikiliq.org/beer-brands/port-brewing/
106,2nd Shift,21,https://wikiliq.org/beer-brands/2nd-shift/
107,Urban Family Brewing Co.,21,https://wikiliq.org/beer-brands/urban-family-brewing-co/
108,Alaskan,20,https://wikiliq.org/beer-brands/alaskan/
109,Breakside Brewery,20,https://wikiliq.org/beer-brands/breakside-brewery/
110,Gigantic Brewing Company,20,https://wikiliq.org/beer-brands/gigantic-brewing-company/
111,Shipyard,20,https://wikiliq.org/beer-brands/shipyard/
112,Knee Deep,20,https://wikiliq.org/beer-brands/knee-deep/
113,Trillium,20,https://wikiliq.org/beer-brands/trillium/
114,Four Quarters Brewing,20,https://wikiliq.org/beer-brands/four-quarters-brewing/
115,Decadent Ales,20,https://wikiliq.org/beer-brands/decadent-ales/
