,brand,product_count,href
0,DeKuyper Liqueur,66,https://wikiliq.org/liquor-brand/dekuyper/
1,Bacardi Rum,58,https://wikiliq.org/liquor-brand/bacardi/
2,Smirnoff Vodka,57,https://wikiliq.org/liquor-brand/smirnoff/
3,Jack Daniel's,55,https://wikiliq.org/liquor-brand/jack-daniels/
4,Johnnie Walker,55,https://wikiliq.org/liquor-brand/johnnie-walker/
5,Gordon & MacPhail,53,https://wikiliq.org/liquor-brand/gordon-macphail/
6,Jose Cuervo,51,https://wikiliq.org/liquor-brand/jose-cuervo/
7,Pinnacle,49,https://wikiliq.org/liquor-brand/pinnacle/
8,Absolut,49,https://wikiliq.org/liquor-brand/absolut/
9,Highland Park,48,https://wikiliq.org/liquor-brand/highland-park/
10,Jim Beam,47,https://wikiliq.org/liquor-brand/jim-beam/
11,Hiram Walker,46,https://wikiliq.org/liquor-brand/hiram-walker/
12,Malibu Rum,46,https://wikiliq.org/liquor-brand/malibu/
13,Barrell Craft Spirits,43,https://wikiliq.org/liquor-brand/barrell-craft-spirits/
14,Arrow,40,https://wikiliq.org/liquor-brand/arrow/
15,Three Olives,40,https://wikiliq.org/liquor-brand/three-olives/
16,Glenmorangie,38,https://wikiliq.org/liquor-brand/glenmorangie/
17,Bruichladdich,38,https://wikiliq.org/liquor-brand/bruichladdich/
18,The Macallan,37,https://wikiliq.org/liquor-brand/the-macallan/
19,Drinkworks,37,https://wikiliq.org/liquor-brand/drinkworks/
20,Cutwater Spirits,36,https://wikiliq.org/liquor-brand/cutwater-spirits/
21,Hennessy,35,https://wikiliq.org/liquor-brand/hennessy/
22,Margaritaville,35,https://wikiliq.org/liquor-brand/margaritaville/
23,Burnett's,34,https://wikiliq.org/liquor-brand/burnetts/
24,Stolichnaya,34,https://wikiliq.org/liquor-brand/stolichnaya/
25,The Glenlivet,33,https://wikiliq.org/liquor-brand/the-glenlivet/
26,Seagram's,33,https://wikiliq.org/liquor-brand/seagrams/
27,Cruzan,33,https://wikiliq.org/liquor-brand/cruzan/
28,Patrón,33,https://wikiliq.org/liquor-brand/patron/
29,McCormick,32,https://wikiliq.org/liquor-brand/mccormick/
30,Mr. Boston,32,https://wikiliq.org/liquor-brand/mr-boston/
31,99 Brand,31,https://wikiliq.org/liquor-brand/99-brand/
32,Leroux,29,https://wikiliq.org/liquor-brand/leroux/
33,The Balvenie,29,https://wikiliq.org/liquor-brand/the-balvenie/
34,Bols,29,https://wikiliq.org/liquor-brand/bols/
35,UV Vodka,29,https://wikiliq.org/liquor-brand/uv-vodka/
36,St. George,28,https://wikiliq.org/liquor-brand/st-george/
37,Crown Royal,28,https://wikiliq.org/liquor-brand/crown-royal/
38,Compass Box,27,https://wikiliq.org/liquor-brand/compass-box/
39,Courvoisier,27,https://wikiliq.org/liquor-brand/courvoisier/
40,1800 Tequila,27,https://wikiliq.org/liquor-brand/1800-tequila/
41,SKYY,27,https://wikiliq.org/liquor-brand/skyy/
42,Bird Dog Whiskey,26,https://wikiliq.org/liquor-brand/bird-dog-whiskey/
43,Glenfiddich,26,https://wikiliq.org/liquor-brand/glenfiddich/
44,Ole Smoky,25,https://wikiliq.org/liquor-brand/ole-smoky/
45,Woodford Reserve,25,https://wikiliq.org/liquor-brand/woodford-reserve/
46,Dalmore,25,https://wikiliq.org/liquor-brand/dalmore/
47,Leopold Bros,24,https://wikiliq.org/liquor-brand/leopold-bros/
48,Knob Creek,24,https://wikiliq.org/liquor-brand/knob-creek/
49,Buffalo Trace,24,https://wikiliq.org/liquor-brand/buffalo-trace/
50,Ardbeg,24,https://wikiliq.org/liquor-brand/ardbeg/
51,Bowmore,24,https://wikiliq.org/liquor-brand/bowmore/
52,Del Maguey Mezcal,24,https://wikiliq.org/liquor-brand/del-maguey/
53,Sauza,24,https://wikiliq.org/liquor-brand/sauza/
54,Corsair Distillery,23,https://wikiliq.org/liquor-brand/corsair-distillery/
55,Willett,23,https://wikiliq.org/liquor-brand/willett/
56,Alexander Murray,23,https://wikiliq.org/liquor-brand/alexander-murray/
57,Pearl Vodka,23,https://wikiliq.org/liquor-brand/pearl-vodka/
58,Kahlua Liqueur,23,https://wikiliq.org/liquor-brand/kahlua/
59,Belvedere,23,https://wikiliq.org/liquor-brand/belvedere/
60,Wild Turkey Bourbon,22,https://wikiliq.org/liquor-brand/wild-turkey/
61,Twisted Shotz,22,https://wikiliq.org/liquor-brand/twisted-shotz/
62,Buzzballz,22,https://wikiliq.org/liquor-brand/buzzballz/
63,Maker's Mark,21,https://wikiliq.org/liquor-brand/makers-mark/
64,Canadian Club,21,https://wikiliq.org/liquor-brand/canadian-club/
65,Jameson Irish Whiskey,21,https://wikiliq.org/liquor-brand/jameson/
66,WhistlePig,21,https://wikiliq.org/liquor-brand/whistlepig/
67,The Glenrothes,21,https://wikiliq.org/liquor-brand/the-glenrothes/
68,Laphroaig,21,https://wikiliq.org/liquor-brand/laphroaig/
69,Ivanabitch,21,https://wikiliq.org/liquor-brand/ivanabitch/
70,Van Gogh Vodka,21,https://wikiliq.org/liquor-brand/van-gogh/
71,High West,20,https://wikiliq.org/liquor-brand/high-west/
72,Koval,20,https://wikiliq.org/liquor-brand/koval/
73,Greenbar Distillery,20,https://wikiliq.org/liquor-brand/greenbar-distillery/
74,Dubouchett,20,https://wikiliq.org/liquor-brand/dubouchett/
75,The BenRiach Distillery,20,https://wikiliq.org/liquor-brand/the-benriach-distillery/
76,Alize,20,https://wikiliq.org/liquor-brand/alize/
77,Svedka Vodka,20,https://wikiliq.org/liquor-brand/svedka/
78,El Dorado Rum,20,https://wikiliq.org/liquor-brand/el-dorado/
79,Jefferson's Reserve,19,https://wikiliq.org/liquor-brand/jeffersons-reserve/
80,Dr. McGillicuddy's,19,https://wikiliq.org/liquor-brand/dr-mcgillicuddys/
81,Dewar's,19,https://wikiliq.org/liquor-brand/dewars/
82,Sugarlands Shine,19,https://wikiliq.org/liquor-brand/sugarlands-shine/
83,Arran,19,https://wikiliq.org/liquor-brand/arran/
84,Clear Creek,19,https://wikiliq.org/liquor-brand/clear-creek/
85,New Amsterdam,19,https://wikiliq.org/liquor-brand/new-amsterdam/
86,The GlenDronach,18,https://wikiliq.org/liquor-brand/the-glendronach/
87,Tattersall,18,https://wikiliq.org/liquor-brand/tattersall/
88,Skinnygirl,18,https://wikiliq.org/liquor-brand/skinnygirl/
89,Captain Morgan,18,https://wikiliq.org/liquor-brand/captain-morgan/
90,Plantation Rum,18,https://wikiliq.org/liquor-brand/plantation/
91,Grey Goose Vodka,18,https://wikiliq.org/liquor-brand/grey-goose/
92,Black Button Distilling,17,https://wikiliq.org/liquor-brand/black-button-distilling/
93,Firefly,17,https://wikiliq.org/liquor-brand/firefly/
94,Springbank,17,https://wikiliq.org/liquor-brand/springbank/
95,Bozal,17,https://wikiliq.org/liquor-brand/bozal/
96,Giffard,17,https://wikiliq.org/liquor-brand/giffard/
