,brand,product_count,href
0,Vineyard Block Estate,77,https://wikiliq.org/wine-brand/vineyard-block-estate/
1,Louis Jadot,74,https://wikiliq.org/wine-brand/louis-jadot/
2,Veuve Clicquot Champagne,59,https://wikiliq.org/wine-brand/veuve-clicquot/
3,90+ Cellars,52,https://wikiliq.org/wine-brand/90-cellars/
4,Beringer Vineyards,47,https://wikiliq.org/wine-brand/beringer/
5,Francis Ford Coppola,46,https://wikiliq.org/wine-brand/francis-ford-coppola/
6,Barefoot,46,https://wikiliq.org/wine-brand/barefoot/
7,Kenwood,40,https://wikiliq.org/wine-brand/kenwood/
8,Louis Latour,36,https://wikiliq.org/wine-brand/louis-latour/
9,Domaine Drouhin,36,https://wikiliq.org/wine-brand/domaine-drouhin/
10,M. Chapoutier,34,https://wikiliq.org/wine-brand/m-chapoutier/
11,Castle Rock,33,https://wikiliq.org/wine-brand/castle-rock/
12,Cline,30,https://wikiliq.org/wine-brand/cline/
13,Chateau Ste. Michelle,30,https://wikiliq.org/wine-brand/chateau-ste-michelle/
14,Beaulieu Vineyard,29,https://wikiliq.org/wine-brand/beaulieu-vineyard/
15,Ozeki,29,https://wikiliq.org/wine-brand/ozeki/
16,Cupcake,28,https://wikiliq.org/wine-brand/cupcake/
17,Kendall-Jackson,28,https://wikiliq.org/wine-brand/kendall-jackson/
18,Trapiche,28,https://wikiliq.org/wine-brand/trapiche/
19,Glenora Wine Cellars,28,https://wikiliq.org/wine-brand/glenora-wine-cellars/
20,Sutter Home,27,https://wikiliq.org/wine-brand/sutter-home/
21,Penfolds,27,https://wikiliq.org/wine-brand/penfolds/
22,Ravenswood,26,https://wikiliq.org/wine-brand/ravenswood/
23,Blackstone,26,https://wikiliq.org/wine-brand/blackstone/
24,Santa Rita,25,https://wikiliq.org/wine-brand/santa-rita/
25,Barton & Guestier,25,https://wikiliq.org/wine-brand/barton-guestier/
26,Bouchard Pere & Fils,25,https://wikiliq.org/wine-brand/bouchard-pere-fils/
27,Albert Bichot,25,https://wikiliq.org/wine-brand/albert-bichot/
28,Clos du Bois,24,https://wikiliq.org/wine-brand/clos-du-bois/
29,Fetzer,24,https://wikiliq.org/wine-brand/fetzer/
30,Sandeman,24,https://wikiliq.org/wine-brand/sandeman/
